,number,artist,title,genre,heart,t.listener,t.listen
116,90928025,임영웅,암연,발라드,"2,068","66,973","389,525"
117,91893117,임영웅,빈지게,트로트,"1,051","19,949","131,056"
118,91204562,영탁,붓,트로트,880,"35,708","433,486"
119,90169589,임영웅,항구의남자,트로트,"2,813","95,064","686,161"
120,91420724,김희재,I Believe,발라드,620,"7,478","273,664"
121,91691111,김희재,겨울장미,트로트,588,"6,440","213,884"
122,92561000,임영웅,I'm Yours,POP,"1,395","14,276","81,936"
123,91358286,임영웅,휘파람,블루스/포크,"1,399","33,430","200,196"
124,91286265,임영웅,사랑,트로트,"1,662","53,507","269,315"
125,90751197,정동원,눈물비,트로트,477,"37,405","309,916"
126,90190740,임영웅,사랑의 미로,트로트,"2,698","80,409","613,890"
127,90507913,임영웅,노래는 나의 인생,트로트,"2,338","47,316","360,226"
128,90124475,김호중,초혼,트로트,"3,745","121,028","1,343,497"
129,90507913,임영웅,노래는 나의 인생,트로트,"2,338","47,316","360,226"
130,90124475,김호중,초혼,트로트,"3,745","121,028","1,343,497"
131,90536216,임영웅,쓰러집니다,트로트,"2,152","47,037","334,881"
132,91204563,이찬원,카페에서,트로트,"1,018","17,298","501,484"
133,92327232,임영웅,사랑TWO,락,847,"13,887","72,294"
134,90378686,임영웅,시계바늘,트로트,"2,340","74,927","464,507"
135,91948488,임태경 & 정동원,천개의 바람이 되어,발라드,253,"21,408","109,554"
136,92561001,임영웅,서울의 달,발라드,"1,281","12,989","72,133"
137,92023521,임영웅 & 영탁 & 이찬원 & 정동원 & 장민호 & 김희재,추억속으로,트로트,"1,140","27,324","89,685"
138,91485297,임영웅,별 빛이 내린다,락,"1,367","30,181","177,151"
139,90482373,임영웅,진달래꽃,락,"2,363","60,790","414,815"
140,92886220,김희재,보고싶어요,트로트,475,"3,779","69,528"
141,90482375,김호중,천년의 사랑,발라드,"4,394","149,112","2,129,736"
142,92798381,영탁,뿐이고,트로트,466,"24,386","74,992"
143,90412814,이찬원,본능적으로,발라드,"1,589","48,930","807,592"
144,92560999,정동원 & 장민호,누구 없나요,트로트,225,"12,206","67,848"
145,90928022,임영웅,알 수 없는 인생,OST,"1,705","38,317","247,830"
146,91485295,임영웅 & 영탁 & 이찬원 & 정동원 & 장민호 & 김희재,사랑은 연필로 쓰세요,댄스,"1,261","39,382","162,819"
147,90677251,김희재,정말 좋았네,트로트,685,"17,091","192,078"
148,90252977,김호중,내 하나의 사람은 가고,트로트,"3,499","72,362","955,701"
149,90608772,임영웅,비나리,트로트,"2,001","38,810","251,679"
150,90106099,이찬원,천년바위,트로트,"1,415","57,898","567,418"
151,92402868,임영웅,여자 여자 여자,트로트,671,"18,477","58,229"
152,90536217,이찬원,우연히,트로트,"1,041","35,192","496,092"
153,90148256,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,질풍가도,OST,"2,549","100,353","705,458"
154,92023522,임영웅,인생,트로트,733,"16,636","67,122"
155,92560994,영탁,그대 내 맘에 들어오면은,발라드,431,"6,324","56,656"
156,90935302,임영웅,곰배령,트로트,"1,400","22,949","153,863"
157,91622412,이찬원,성은 김이요,트로트,916,"11,950","277,401"
158,92023527,임영웅,묻지마세요,트로트,720,"14,167","60,006"
159,90295225,김호중,그대 향한 사랑,클래식,"3,539","54,442","873,636"
160,90106097,정동원,그물,트로트,713,"72,532","623,313"
161,92107239,정동원,걷다 보면,트로트,205,"8,925","50,780"
162,90935307,임영웅,지금 이순간 (뮤지컬 'Jekyll And Hyde'),OST,"1,506","40,429","188,002"
163,90252972,임영웅,사랑할 나이,트로트,"2,259","53,529","373,980"
164,92798382,임영웅,그대와 영원히,발라드,425,"18,132","49,305"
165,90124466,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,제비처럼,트로트,"2,589","143,478","982,375"
166,90928023,김희재,꼬마인형,트로트,719,"16,166","375,808"
167,90442862,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,너에게 난 나에게 넌,트로트,"2,017","70,782","408,716"
168,90935300,임영웅,고향으로 가는 배,트로트,"1,469","25,901","158,923"
169,90442862,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,너에게 난 나에게 넌,블루스/포크,"2,017","70,782","408,716"
170,90935300,임영웅,고향으로 가는 배,트로트,"1,469","25,901","158,923"
171,91622415,영탁,갈채,트로트,727,"18,100","194,162"
172,90787479,임영웅,원점,트로트,"2,341","50,475","254,057"
173,90507904,김희재,신 사랑고개,트로트,819,"21,572","280,586"
174,90442856,임영웅,이별,트로트,"2,040","41,679","257,386"
175,90124470,영탁,먼지가 되어,블루스/포크,"1,006","83,000","538,493"
176,90124471,정동원,청포도 사랑,트로트,669,"59,988","453,608"
177,90751195,김희재,무슨 사랑,트로트,605,"9,923","110,866"
178,90507915,임영웅 & 신유,나쁜남자,트로트,"1,262","50,468","362,512"
179,90148249,김호중,희나리,블루스/포크,"2,842","68,676","716,704"
180,91893118,임영웅 & 영탁 & 정동원 & 장민호,댄싱퀸,트로트,780,"30,065","97,392"
181,91064181,이찬원,대전 부르스,트로트,786,"14,763","226,488"
182,92964778,임영웅,여백,트로트,501,"13,530","43,245"
183,90216791,김호중,때,트로트,"3,078","48,179","644,176"
184,91948491,김희재 & 임영웅,아마도 그건 (Crush & 로꼬 Ver.),발라드,740,"7,058","60,921"
185,90106100,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,나무꾼,트로트,"2,252","96,088","686,175"
186,90412811,김호중,MY Way,POP,"3,435","77,752","1,076,509"
187,91064179,영탁,내 마음 당신 곁으로,트로트,672,"22,625","208,230"
188,90507907,이찬원,물레야,트로트,"1,021","29,239","478,527"
189,90709003,임영웅,나는 울었네,트로트,"1,860","31,816","177,931"
190,90787473,이찬원,울엄마,트로트,860,"18,109","251,967"
191,90891135,임영웅,잃어버린 30년,트로트,"2,010","51,892","214,940"
192,92107240,임영웅 & 진미령,미운 사랑,트로트,477,"5,608","38,710"
193,90378690,임영웅,남쪽 끝섬,블루스/포크,"2,197","49,985","295,364"
194,90169582,영탁,바람바람바람,트로트,804,"65,337","411,360"
